code,name,registered,voters,blanks,nulls,boycotts,PS,PPD/PSD,B.E.,CDS-PP,MEP,MPT,PCTP/MRPP,MMS,P.H.,P.N.R.,PCP-PEV,POUS,PPM,PPD/PSD.CDS-PP,PTP,PND,L,MAS,PAN,PDA,PNR,PPV
170612,Gralhas,313,103,2,1,0,49,38,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150804,Quinta do Anjo,7625,3088,188,65,0,671,568,417,248,64,18,66,24,14,20,709,3,13,0,0,0,0,0,0,0,0,0
110114,Vila Verde dos Francos,1093,428,14,17,0,206,94,34,12,4,4,5,2,2,2,28,2,2,0,0,0,0,0,0,0,0,0
130730,Vila Boa do Bispo,2722,873,19,14,0,149,464,67,109,6,3,5,4,4,1,25,0,3,0,0,0,0,0,0,0,0,0
110301,Alcoentre,2423,1025,59,32,0,337,228,104,59,11,18,25,5,3,7,128,5,4,0,0,0,0,0,0,0,0,0
70524,União das freguesias de Malagueira e Horta das Figueiras,17460,6440,244,137,0,1447,1505,1086,438,84,39,94,25,28,23,1260,9,21,0,0,0,0,0,0,0,0,0
160420,Pias,1016,290,6,4,0,61,153,23,23,3,2,5,0,2,0,6,0,2,0,0,0,0,0,0,0,0,0
60222,União das freguesias de Portunhos e Outil,1995,675,56,11,0,224,201,72,41,7,5,5,6,2,1,39,1,4,0,0,0,0,0,0,0,0,0
181621,União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões,1616,541,41,13,0,166,217,32,29,5,3,9,1,3,2,16,1,3,0,0,0,0,0,0,0,0,0
160436,União das freguesias de Mazedo e Cortes,2727,716,32,12,0,191,267,86,61,4,5,10,1,3,3,37,0,4,0,0,0,0,0,0,0,0,0
30242,Lama,1224,530,29,12,0,73,307,22,46,10,2,3,3,5,1,15,0,2,0,0,0,0,0,0,0,0,0
181314,São Martinho de Mouros,2018,390,14,13,0,107,190,21,24,1,2,2,2,1,2,6,1,4,0,0,0,0,0,0,0,0,0
131413,Monte Córdova,3284,1218,31,15,0,390,451,106,102,10,9,16,2,4,0,73,4,5,0,0,0,0,0,0,0,0,0
120905,Margem,898,308,12,4,0,149,48,22,11,3,3,11,0,1,0,42,1,1,0,0,0,0,0,0,0,0,0
130413,União das freguesias de Fânzeres e São Pedro da Cova,32890,12279,550,277,0,3715,2850,1389,680,127,57,227,49,62,38,2203,18,37,0,0,0,0,0,0,0,0,0
160627,União das freguesias de Entre Ambos-os-Rios, Ermida e Germil,890,279,5,1,0,95,144,7,11,1,1,3,2,0,1,8,0,0,0,0,0,0,0,0,0,0,0
80801,Almancil,6909,1898,79,58,0,441,618,208,206,20,21,19,13,16,15,171,6,7,0,0,0,0,0,0,0,0,0
130526,Vilar do Torno e Alentém,1216,368,8,9,0,173,107,28,19,4,0,1,1,1,2,14,1,0,0,0,0,0,0,0,0,0,0
91235,União das freguesias de Tourais e Lajes,2016,740,25,10,0,147,436,29,62,2,5,3,1,2,2,16,0,0,0,0,0,0,0,0,0,0,0
180326,União das freguesias de Picão e Ermida,681,229,6,4,0,37,117,8,48,3,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0
91212,Sandomil,1009,420,22,10,0,124,198,16,23,2,2,4,0,1,0,15,2,1,0,0,0,0,0,0,0,0,0
131128,Rans,1556,597,20,16,0,218,213,30,42,6,2,6,3,1,0,35,1,4,0,0,0,0,0,0,0,0,0
