code,name,registered,voters,blanks,nulls,boycotts,PPD/PSD,PS,CDS-PP,PCP-PEV,B.E.,MEP,PCTP/MRPP,PPM,MPT,MMS,P.N.R.,P.H.,POUS,PPD/PSD.CDS-PP,L,PND,PTP,PAN,MAS,PPV,PNR,PDA
170500,Mondim de Basto,8513,2347,50,31,0,0,784,0,104,29,0,22,13,140,0,0,0,2,1074,25,25,16,12,10,7,3,0
182300,Viseu,96255,30229,1540,1096,0,0,8019,0,1683,1162,0,348,138,2119,0,0,0,31,12367,605,248,132,369,102,123,106,41
11200,Murtosa,9988,2463,140,68,0,0,432,0,136,58,0,35,11,169,0,0,0,5,1284,26,27,15,29,12,2,13,1
70500,Évora,47781,17647,653,485,0,0,5385,0,4746,916,0,380,56,889,0,0,0,14,3244,379,53,45,223,39,52,73,15
21300,Serpa,13807,5006,133,81,0,0,1356,0,2452,151,0,94,16,102,0,0,0,4,483,30,13,16,37,7,6,16,9
141600,Santarém,53126,18719,932,573,0,0,6162,0,2505,879,0,290,108,1326,0,0,0,23,4787,352,104,99,299,89,56,105,30
40600,Miranda do Douro,7903,2386,106,69,0,0,907,0,68,50,0,12,8,111,0,0,0,4,956,22,29,15,11,8,5,3,2
181000,Oliveira de Frades,9338,3183,192,127,0,0,741,0,168,102,0,32,21,231,0,0,0,2,1418,34,33,23,34,6,9,10,0
40100,Alfândega da Fé,5680,2121,111,58,0,0,910,0,64,30,0,23,12,112,0,0,0,5,716,22,15,10,16,7,3,6,1
40000,Bragança,148442,43011,1590,1412,0,0,14759,0,1874,1056,0,486,220,2285,0,0,0,53,17349,394,469,251,376,134,113,131,59
50300,Covilhã,48386,16129,678,543,1,0,6578,0,2416,734,0,349,73,1276,0,0,0,15,2691,240,81,83,188,46,57,66,15
460100,Lajes do Pico,4533,1135,79,15,0,0,468,0,29,22,0,8,10,48,0,0,0,3,396,14,8,7,6,5,1,2,14
180500,Lamego,25700,8341,243,328,0,0,2886,0,602,248,0,123,38,541,0,0,0,5,2948,74,64,62,77,18,46,26,12
420100,Lagoa (R.A.A),12568,2029,121,63,0,0,939,0,68,70,0,28,22,142,0,0,0,3,455,27,11,7,31,8,0,5,29
10900,Santa Maria da Feira,125739,45271,2306,1417,0,0,15629,0,2542,1967,0,713,240,3965,0,0,0,65,13894,696,412,343,543,190,139,147,63
182200,Vila Nova de Paiva,6774,1560,83,35,0,0,383,0,63,13,0,14,9,86,0,0,0,4,797,8,27,11,14,0,6,7,0
10700,Espinho,30646,12795,528,374,0,0,4170,0,1475,621,0,262,60,1034,0,0,0,19,3586,204,83,64,163,33,41,59,19
60300,Coimbra,129150,46960,2400,1222,0,0,14381,0,6341,3162,0,693,204,4620,0,0,0,31,10867,1344,180,157,716,276,151,169,46
120300,Avis,3794,1910,49,40,0,0,480,0,976,31,0,29,6,52,0,0,0,2,204,8,2,2,16,2,0,9,2
20300,Alvito,1990,741,22,23,0,0,232,0,241,24,0,18,3,23,0,0,0,0,126,10,2,1,8,2,1,5,0
310700,Ribeira Brava,14140,4759,88,319,0,0,852,0,142,133,0,76,59,342,0,0,0,10,2033,83,78,333,127,18,25,27,14
160600,Ponte da Barca,14239,4004,125,77,0,0,1613,0,141,74,0,34,17,210,0,0,0,3,1555,44,37,22,35,3,6,5,3
101300,Pedrógão Grande,3544,1129,59,38,0,0,277,0,36,30,0,5,8,122,0,0,0,1,504,9,14,3,10,3,1,7,2
150200,Alcochete,13979,5097,269,157,0,0,1311,0,1408,286,0,106,28,344,0,0,0,4,787,181,22,25,105,22,9,24,9
11700,Sever do Vouga,11603,3953,246,149,0,0,834,0,147,97,0,46,32,323,0,0,0,5,1893,48,29,32,38,16,7,8,3
