code,name,registered,voters,blanks,nulls,boycotts,PPD/PSD,PS,CDS-PP,B.E.,PCP-PEV,PCTP/MRPP,MEP,MPT,PPM,MMS,P.H.,P.N.R.,POUS,PPD/PSD.CDS-PP,PND,L,PAN,PTP,MAS,PNR,PPV,PDA
40000,Bragança,148442,43011,1590,1412,0,0,14759,0,1056,1874,486,0,2285,220,0,0,0,53,17349,469,394,376,251,134,131,113,59
90000,Guarda,165960,54593,2281,2029,0,0,19508,0,1595,2962,703,0,3223,286,0,0,0,91,19179,528,588,662,328,190,150,216,74
30000,Braga,785809,290158,13785,6681,0,0,94504,0,9985,22157,4335,0,22122,1484,0,0,0,374,100203,2078,4288,2919,1736,1198,998,954,357
110000,Lisboa,1904598,721186,28886,22052,0,0,216887,0,38607,114925,11914,0,47280,4065,0,0,0,665,173587,3702,25998,17469,3191,2887,4493,3586,992
120000,Portalegre,102931,35746,1470,1034,0,0,14354,0,1218,6857,743,0,1589,144,0,0,0,30,6977,161,360,308,140,114,147,65,35
100000,Leiria,425369,137474,8902,5224,0,0,33940,0,5806,11881,1847,0,9386,700,0,0,0,169,50649,1201,2906,2199,759,574,578,508,245
130000,Porto,1587700,591603,24993,16481,1,0,200862,0,27899,58549,9590,0,49957,3164,0,0,0,597,164347,3722,11658,9775,3121,2054,2274,1707,853
60000,Coimbra,392379,128483,7110,3712,1,0,43459,0,6812,13109,1948,0,10561,546,0,0,0,125,33930,783,2540,1676,615,619,452,348,138
170000,Vila Real,222724,66202,2370,1932,7,0,23169,0,1333,3343,777,0,3543,338,0,0,0,92,26024,687,709,507,438,245,177,432,86
300000,Madeira,257919,87340,1710,5800,0,0,19713,0,3216,4199,1489,0,8750,991,0,0,0,232,27079,1987,1764,2915,5737,462,450,479,367
20000,Beja,131074,47420,1368,1055,0,0,16451,0,1599,16721,1281,0,1488,156,0,0,0,32,5363,185,597,493,181,121,197,84,48
80000,Faro,372673,106388,4916,3251,0,0,32986,0,7340,14906,2799,0,7896,651,0,0,0,139,23311,823,2342,2562,718,505,666,401,176
400000,Açores,226885,44786,2872,957,0,0,18497,0,1649,1734,472,0,2311,324,0,0,0,41,13266,291,641,562,227,130,105,88,619
150000,Setúbal,725166,257848,8940,7623,0,0,74212,0,15445,74867,5609,0,16079,1104,0,0,0,231,35861,1143,6182,5771,1200,865,1525,877,314
10000,Aveiro,655211,218293,12451,6842,0,0,62893,0,9223,14784,3152,0,18584,1190,0,0,0,280,76651,1713,3660,2822,1348,822,895,688,295
70000,Évora,142888,53967,1881,1238,0,0,17789,0,2008,16901,1272,0,2120,191,0,0,0,38,8401,162,779,535,157,119,207,123,46
160000,Viana do Castelo,253349,77715,4270,2207,1,0,22947,0,2593,6075,1188,0,6285,420,0,0,0,110,27296,817,1152,926,498,277,301,235,118
140000,Santarém,396649,137998,6738,4711,0,0,43954,0,6609,19335,2549,0,9448,814,0,0,0,159,35590,901,2415,2013,800,547,685,516,214
50000,Castelo Branco,183515,64005,2740,2514,1,0,25484,0,2187,5264,1078,0,4180,341,0,0,0,90,16913,452,962,650,434,208,219,196,93
